id,current_price,market_cap,price_change_percentage_24h,ath,atl,high_24h,low_24h,time_stamp
first-digital-usd,0.999775,2012140779,0.00799,1.15,0.940377,1.004,0.991949,19-02-2025 13:25:32
fetch-ai,0.739631,1928257900,-0.04579,3.45,0.00816959,0.747494,0.709608,19-02-2025 13:25:32
lombard-staked-btc,95504.0,1900540982,-0.40196,114576.0,52119.0,96652.0,93284.0,19-02-2025 13:25:32
jupiter-exchange-solana,0.71585,1886781416,-3.79133,2.0,0.457464,0.74406,0.674275,19-02-2025 13:25:32
optimism,1.12,1810157165,-0.21448,4.84,0.402159,1.12,1.047,19-02-2025 13:25:32
fasttoken,3.95,1696822945,0.5228,4.0,0.398142,3.96,3.92,19-02-2025 13:25:32
binance-peg-weth,2698.0,1632292327,0.96087,4098.26,2171.8,2722.34,2599.39,19-02-2025 13:25:32
celestia,3.03,1613084683,-1.23427,20.85,2.08,3.17,2.94,19-02-2025 13:25:32
lido-dao,1.77,1584015661,-2.59049,7.3,0.40615,1.91,1.69,19-02-2025 13:25:32
kelp-dao-restaked-eth,2801.6,1555362531,1.18941,4216.2,2069.62,2826.43,2711.05,19-02-2025 13:25:32
kucoin-shares,12.06,1477781021,0.49373,28.83,0.342863,12.14,11.95,19-02-2025 13:25:32
solv-btc,95363.0,1422541653,0.04538,108929.0,49058.0,97835.0,93223.0,19-02-2025 13:25:32
xdce-crowd-sale,0.090069,1413000203,-3.98069,0.192754,0.00039532,0.093939,0.087758,19-02-2025 13:25:32
injective-protocol,14.2,1387252824,0.30679,52.62,0.657401,14.27,13.31,19-02-2025 13:25:32
rocket-pool-eth,3047.79,1370685882,1.25199,4814.31,887.26,3061.75,2943.21,19-02-2025 13:25:32
quant-network,93.65,1361883339,-1.6337,427.42,0.215773,96.71,91.78,19-02-2025 13:25:32
nexo,1.35,1349537212,1.22121,4.07,0.04515276,1.35,1.31,19-02-2025 13:25:32
blockstack,0.876913,1326590513,-0.63997,3.86,0.04559639,0.899985,0.851641,19-02-2025 13:25:32
binance-staked-sol,174.71,1320570195,0.80054,297.96,127.32,176.72,167.62,19-02-2025 13:25:32
ethena,0.417319,1305096590,-3.15066,1.52,0.195078,0.437146,0.405352,19-02-2025 13:25:32
immutable-x,0.74191,1293471925,-2.18935,9.52,0.378055,0.758545,0.718823,19-02-2025 13:25:32
the-graph,0.132625,1266294125,-2.32699,2.84,0.052051,0.135784,0.127227,19-02-2025 13:25:32
theta-token,1.26,1262837847,-0.99656,15.72,0.04039979,1.29,1.22,19-02-2025 13:25:32
mantle-staked-ether,2857.3,1248961349,0.98256,4729.53,2142.02,2890.8,2757.92,19-02-2025 13:25:32
raydium,4.26,1240567790,-4.04347,16.83,0.134391,4.46,3.97,19-02-2025 13:25:32
movement,0.507028,1216485827,-2.88863,1.45,0.491991,0.527928,0.491991,19-02-2025 13:25:32
bonk,1.551e-05,1198259829,-1.3015,5.825e-05,8.6142e-08,1.584e-05,1.486e-05,19-02-2025 13:25:32
flare-networks,0.02018372,1192715098,-0.39956,0.150073,0.00827405,0.02040915,0.0196401,19-02-2025 13:25:32
worldcoin-wld,1.14,1184593962,-1.53595,11.74,0.973104,1.17,1.081,19-02-2025 13:25:32
usual-usd,0.997405,1117206430,0.07167,1.33,0.976415,1.001,0.993298,19-02-2025 13:25:32
sei-network,0.224581,1045232756,0.73748,1.14,0.095364,0.224915,0.214604,19-02-2025 13:25:32
dexe,17.92,1024178350,-0.23167,32.38,0.671563,18.36,17.63,19-02-2025 13:25:32
jasmycoin,0.02101464,1017202529,-1.43076,4.79,0.00275026,0.02145445,0.02004981,19-02-2025 13:25:32
solv-protocol-solvbtc-bbn,94786.0,1008042867,0.45616,117077.0,11402.13,98930.0,92719.0,19-02-2025 13:25:32
maker,1187.87,1005305689,8.55639,6292.31,168.36,1197.77,1076.3,19-02-2025 13:25:32
gala,0.02174164,937256039,0.51491,0.824837,0.00013475,0.02229909,0.02086012,19-02-2025 13:25:32
eos,0.617443,936346172,0.17566,22.71,0.402746,0.622513,0.594259,19-02-2025 13:25:32
floki,9.439e-05,912256481,3.434,0.00034495,8.428e-08,9.512e-05,8.908e-05,19-02-2025 13:25:32
telcoin,0.00988486,898380602,-2.88112,0.064483,6.474e-05,0.01042411,0.00925553,19-02-2025 13:25:32
ethereum-name-service,26.75,887796626,1.98315,83.4,6.69,27.11,25.21,19-02-2025 13:25:32
tezos,0.858626,885161696,-0.34988,9.12,0.350476,0.867098,0.826423,19-02-2025 13:25:32
the-sandbox,0.359305,879417604,-4.01419,8.4,0.02897764,0.374331,0.349734,19-02-2025 13:25:32
renzo-restaked-eth,2803.59,864662487,1.07563,4207.05,2198.04,2822.64,2709.87,19-02-2025 13:25:32
msol,213.55,849355962,0.62117,363.77,8.93,216.58,203.89,19-02-2025 13:25:32
bittorrent,8.43952e-07,832670007,-0.9594,3.43e-06,3.65368e-07,8.57839e-07,8.30095e-07,19-02-2025 13:25:32
wbnb,655.29,820598736,0.86251,789.32,23.6,662.17,629.44,19-02-2025 13:25:32
iota,0.220295,803886147,0.92171,5.25,0.081637,0.223424,0.208579,19-02-2025 13:25:32
flow,0.504397,788902689,0.17283,42.4,0.391969,0.511627,0.486116,19-02-2025 13:25:32
jito-governance-token,2.66,785804475,-0.70412,6.01,1.45,2.68,2.5,19-02-2025 13:25:32
arbitrum-bridged-wbtc-arbitrum-one,95551.0,768091929,0.12991,108397.0,49594.0,96416.0,93300.0,19-02-2025 13:25:32
ronin,1.23,761935514,-0.03676,4.45,0.196601,1.25,1.18,19-02-2025 13:25:32
pancakeswap-token,2.59,753212046,0.13381,43.96,0.194441,2.63,2.45,19-02-2025 13:25:32
bitcoin-cash-sv,37.78,748931138,-1.24377,489.75,21.43,38.97,37.01,19-02-2025 13:25:32
neo,10.54,743605796,-0.41396,198.38,0.078349,10.7,10.16,19-02-2025 13:25:32
pyth-network,0.204438,741142479,2.16986,1.2,0.171792,0.222682,0.196444,19-02-2025 13:25:32
kaia,0.125864,737052223,-1.24083,0.406698,0.113064,0.127704,0.120338,19-02-2025 13:25:32
tether-gold,2928.21,721964243,0.68072,2937.43,1447.84,2935.27,2903.73,19-02-2025 13:25:32
berachain-bera,6.59,711272679,13.81914,14.83,4.79,6.65,5.67,19-02-2025 13:25:32
chain-2,0.02079337,678311273,-1.01792,0.184139,0.0007055,0.0223261,0.01999927,19-02-2025 13:25:32
paypal-usd,1.0,674341413,0.01132,1.021,0.959426,1.003,0.997258,19-02-2025 13:25:32
mantle-restaked-eth,2855.88,671968218,0.77271,4298.87,2476.46,2890.2,2751.59,19-02-2025 13:25:32
axie-infinity,4.2,666670122,-0.48991,164.9,0.123718,4.27,4.05,19-02-2025 13:25:32
jupiter-staked-sol,182.75,664984960,0.46148,309.67,114.32,185.31,175.03,19-02-2025 13:25:32
binance-peg-dogecoin,0.252497,648791119,0.83295,0.480585,0.04955727,0.255233,0.242343,19-02-2025 13:25:32
curve-dao-token,0.503853,647050455,1.72893,15.37,0.180354,0.509433,0.47082,19-02-2025 13:25:32
virtual-protocol,0.996653,646411837,-10.33356,5.07,0.00748604,1.12,0.958265,19-02-2025 13:25:32
l2-standard-bridged-weth-base,2700.45,640609685,0.88112,4096.05,2160.5,2725.57,2608.28,19-02-2025 13:25:32
story-2,2.58,639301732,32.73148,2.61,1.0,2.54,1.88,19-02-2025 13:25:32
dogwifcoin,0.632008,631308238,2.63088,4.83,0.00155464,0.632822,0.57914,19-02-2025 13:25:32
usdx-money-usdx,0.999979,624756685,0.06675,1.057,0.944423,1.002,0.996849,19-02-2025 13:25:32
frax,0.995955,612391505,0.10671,1.14,0.874536,1.001,0.991385,19-02-2025 13:25:32
elrond-erd-2,21.79,609096438,0.48688,545.64,6.51,21.87,20.85,19-02-2025 13:25:32
helium,3.43,608619683,-1.09459,54.88,0.113248,3.54,3.34,19-02-2025 13:25:32
pax-gold,2948.87,607018214,0.71584,2959.7,1399.64,2959.7,2916.63,19-02-2025 13:25:32
decentraland,0.316848,591611953,0.29615,5.85,0.00923681,0.321766,0.304928,19-02-2025 13:25:32
meow,0.00651106,585770793,4.8787,0.00923668,3.4e-06,0.00820163,0.00552553,19-02-2025 13:25:32
resolv-usr,1.001,583912174,0.06182,1.022,0.979619,1.005,0.996537,19-02-2025 13:25:32
newton-project,0.0128835,582269552,-0.09684,0.01647294,3.8e-06,0.0129072,0.01283293,19-02-2025 13:25:32
arweave,8.9,581896712,-0.245,89.24,0.298788,9.11,8.29,19-02-2025 13:25:32
aerodrome-finance,0.749524,577250126,-4.20678,2.32,1.861e-05,0.78569,0.72992,19-02-2025 13:25:32
starknet,0.223569,576912839,0.82792,4.41,0.192648,0.224326,0.2089,19-02-2025 13:25:32
spx6900,0.614225,571828934,-6.79413,1.72,0.00131808,0.666364,0.569889,19-02-2025 13:25:32
arbitrum-bridged-weth-arbitrum-one,2701.36,569326205,1.00294,4097.16,2161.12,2726.57,2605.83,19-02-2025 13:25:32
dydx-chain,0.773882,566582038,3.539,4.52,0.61662,0.775507,0.727489,19-02-2025 13:25:32
pumpbtc,93701.0,562086676,-0.90414,107240.0,48890.0,95910.0,92117.0,19-02-2025 13:25:32
insurance-2,29.77,556739904,1.87622,30.11,2.16,29.84,28.74,19-02-2025 13:25:32
conflux-token,0.112312,552663051,-2.1284,1.7,0.02199898,0.115627,0.108693,19-02-2025 13:25:32
ether-fi-staked-eth,2702.1,550956337,1.22187,5307.23,2155.76,2720.2,2605.92,19-02-2025 13:25:32
matic-network,0.306205,549899293,0.34526,2.92,0.00314376,0.307864,0.29234,19-02-2025 13:25:32
zcash,34.13,542834488,-0.68937,3191.93,16.08,34.73,32.69,19-02-2025 13:25:32
apecoin,0.67727,541021519,-1.31126,26.7,0.482009,0.698288,0.652626,19-02-2025 13:25:32
pendle,3.28,538324526,0.99587,7.5,0.03377729,3.32,3.1,19-02-2025 13:25:32
beldex,0.075319,520788002,0.41252,0.450785,0.00027519,0.075545,0.074683,19-02-2025 13:25:32
pudgy-penguins,0.00824409,518452811,-6.41618,0.068447,0.00782944,0.00891883,0.00782944,19-02-2025 13:25:32
chiliz,0.055048,518404717,-4.17279,0.878633,0.00410887,0.057674,0.054059,19-02-2025 13:25:32
ecash,2.584e-05,512152613,1.25215,0.00038001,1.847e-05,2.6e-05,2.487e-05,19-02-2025 13:25:32
beam-2,0.00963581,507173685,-3.96213,0.04416304,0.0043383,0.0101816,0.00940207,19-02-2025 13:25:32
coredaoorg,0.498571,495788698,-3.40733,6.14,0.334237,0.520084,0.484786,19-02-2025 13:25:32
true-usd,0.997893,494321941,-0.03572,1.62,0.88355,1.002,0.994186,19-02-2025 13:25:32
kava,0.455929,493939140,0.02902,9.12,0.247359,0.460347,0.451247,19-02-2025 13:25:32
aioz-network,0.42701,489928439,3.04095,2.65,0.01099588,0.489957,0.382328,19-02-2025 13:25:32
gnosis,189.5,488582582,12.52218,644.2,6.88,217.26,164.67,19-02-2025 13:25:32
clbtc,96211.0,480870996,0.9693,104078.0,86592.0,97050.0,93154.0,19-02-2025 13:25:32
bitcoin-avalanche-bridged-btc-b,95598.0,479415588,0.18619,108820.0,7806.11,96617.0,93406.0,19-02-2025 13:25:32
wormhole,0.166067,476351432,-0.35759,1.66,0.158932,0.17061,0.159054,19-02-2025 13:25:32
compound-governance-token,53.34,473930161,-1.09641,910.54,25.74,54.15,51.62,19-02-2025 13:25:32
morpho,2.04,459288713,1.13901,4.17,0.713151,2.05,1.97,19-02-2025 13:25:32
amp-token,0.0054277,456972351,0.58969,0.120813,0.00140933,0.00547471,0.00511757,19-02-2025 13:25:32
apenft,4.53132e-07,448529490,0.75093,7.53e-06,2.98737e-07,4.53553e-07,4.37879e-07,19-02-2025 13:25:32
verus-coin,5.66,443763958,-2.04322,6.74,0.00177843,6.46,5.59,19-02-2025 13:25:32
reserve-rights-token,0.00800207,443468612,2.31892,0.117424,0.00121354,0.00809375,0.00752021,19-02-2025 13:25:32
bridged-usdc-polygon-pos-bridge,1.0,438854496,0.04063,1.028,0.975633,1.004,0.997749,19-02-2025 13:25:32
quantixai,83.8,435904631,0.01395,105.74,0.228366,84.56,81.87,19-02-2025 13:25:32
tbtc,95433.0,435741521,-0.08862,108501.0,10104.3,96365.0,93385.0,19-02-2025 13:25:32
ket,0.430982,432623923,5.6614,0.487538,0.0085598,0.4574,0.314223,19-02-2025 13:25:32
stakestone-berachain-vault-token,2675.36,431221701,0.847,3453.2,2329.53,2699.9,2593.26,19-02-2025 13:25:32
trust-wallet-token,1.026,427586894,1.02841,2.72,0.00277641,1.034,0.964614,19-02-2025 13:25:32
akash-network,1.72,424814603,-3.19393,8.07,0.164994,1.78,1.69,19-02-2025 13:25:32
grass,1.74,424396016,7.37302,3.89,0.654959,1.77,1.54,19-02-2025 13:25:32
thorchain,1.18,417196769,0.86819,20.87,0.00851264,1.2,1.11,19-02-2025 13:25:32
eigenlayer,1.69,414045275,-1.74518,5.65,1.52,1.72,1.59,19-02-2025 13:25:32
axelar,0.448882,411928084,2.23778,2.64,0.312911,0.451117,0.424085,19-02-2025 13:25:32
blackrock-usd-institutional-digital-liquidity-fund,1.0,408020613,0.0,1.0,1.0,1.0,1.0,19-02-2025 13:25:32
mina-protocol,0.335413,407333756,-1.27351,9.09,0.292578,0.344424,0.324259,19-02-2025 13:25:32
super-oeth,2700.76,406738509,0.97013,4099.87,2170.26,2723.55,2609.44,19-02-2025 13:25:32
hashnote-usyc,1.078,404774533,0.04184,1.1,1.026,1.087,1.07,19-02-2025 13:25:32
usdb,0.995269,404521976,-0.70077,1.072,0.88965,1.018,0.97997,19-02-2025 13:25:32
terra-luna,7.369e-05,404446618,-0.01873,119.18,9.99967e-07,7.476e-05,7.078e-05,19-02-2025 13:25:32
coinbase-wrapped-staked-eth,2947.78,401859789,1.01508,4434.57,1036.96,2968.42,2851.75,19-02-2025 13:25:32
ousg,110.02,394063973,0.01015,110.02,95.09,110.02,110.01,19-02-2025 13:25:32
polygon-pos-bridged-weth-polygon-pos,2702.68,387938025,1.04174,4090.99,2162.83,2726.27,2615.18,19-02-2025 13:25:32
would,0.387326,387113689,-3.38903,0.443032,0.00142393,0.414023,0.331022,19-02-2025 13:25:32
zksync,0.10428,383230432,-0.75392,0.320983,0.08305,0.106234,0.098171,19-02-2025 13:25:32
based-brett,0.03840713,380555504,-6.90999,0.234204,0.00084753,0.04125806,0.03668699,19-02-2025 13:25:32
chex-token,0.381118,380486175,-3.8072,0.804342,0.0005008,0.396235,0.350873,19-02-2025 13:25:32
ondo-us-dollar-yield,1.079,379174131,0.05346,1.26,0.934184,1.086,1.064,19-02-2025 13:25:32
1inch,0.267619,374688378,1.73203,8.65,0.214183,0.268615,0.257779,19-02-2025 13:25:32
olympus,22.74,372483236,-7.63144,1415.26,7.54,24.62,22.45,19-02-2025 13:25:32
stader-ethx,2847.27,366221758,1.26514,4275.3,1537.24,2866.48,2741.05,19-02-2025 13:25:32
ai-companions,0.365618,365746177,-3.33092,0.544605,0.03751432,0.39046,0.356528,19-02-2025 13:25:32
honey-3,1.003,361839052,1.11212,1.11,0.916153,1.043,0.987188,19-02-2025 13:25:32
frax-ether,2683.33,358292115,0.54352,4084.25,1137.25,2713.5,2610.85,19-02-2025 13:25:32
sweth,2924.22,354771026,0.95444,4395.57,1535.26,2949.52,2828.59,19-02-2025 13:25:32
ai16z,0.312765,344036374,-5.39938,2.47,0.010189,0.339454,0.286256,19-02-2025 13:25:32
dydx,0.774469,343102098,3.57981,27.86,0.642404,0.774004,0.725988,19-02-2025 13:25:32
deep,0.13703,342576120,3.74051,0.341085,0.01073218,0.138028,0.119631,19-02-2025 13:25:32
qtum,3.21,338680759,-4.04994,100.22,0.783142,3.36,3.04,19-02-2025 13:25:32
just,0.03387775,335371363,0.65651,0.193254,0.00476275,0.03399733,0.03285551,19-02-2025 13:25:32
wemix-token,0.791359,330652065,1.3373,24.71,0.128398,0.801152,0.768864,19-02-2025 13:25:32
ether-fi-staked-btc,95731.0,329413181,0.42554,109069.0,58795.0,97157.0,92884.0,19-02-2025 13:25:32
havven,0.967347,328068361,0.61455,28.53,0.0347864,0.972461,0.909492,19-02-2025 13:25:32
snek,0.0043984,327287547,-4.46439,0.00895508,0.00013847,0.00471757,0.00425585,19-02-2025 13:25:32
binance-peg-busd,1.008,326378132,-0.07846,1.064,0.954278,1.018,0.998947,19-02-2025 13:25:32
theta-fuel,0.04755743,325656384,0.84138,0.68159,0.00090804,0.0477796,0.04636984,19-02-2025 13:25:32
creditcoin-2,0.758264,325387613,-1.8117,8.67,0.128298,0.774223,0.738691,19-02-2025 13:25:32
safe,0.599731,323752332,2.77335,3.56,0.515333,0.600638,0.560828,19-02-2025 13:25:32
layerzero,2.91,323432211,3.63478,7.47,2.29,2.92,2.75,19-02-2025 13:25:32
mx-token,3.4,322600113,-0.30625,5.85,0.04218457,3.45,3.34,19-02-2025 13:25:32
fartcoin,0.320831,321188569,-3.02185,2.48,0.02002855,0.339119,0.283102,19-02-2025 13:25:32
safepal,0.638188,319069945,-0.47447,4.19,0.269235,0.645489,0.626579,19-02-2025 13:25:32
echelon-prime,5.82,317835211,-2.62474,28.0,1.19,5.98,5.31,19-02-2025 13:25:32
dog-go-to-the-moon-rune,0.00315306,315467063,9.84786,0.0099237,0.0018022,0.00315958,0.00258569,19-02-2025 13:25:32
dash,25.94,315016494,0.94915,1493.59,0.213899,26.15,24.98,19-02-2025 13:25:32
stakewise-v3-oseth,2816.22,314850923,1.29498,4228.59,2141.29,2832.66,2706.23,19-02-2025 13:25:32
compound-wrapped-btc,1920.08,312604235,0.01849,2187.46,91.15,1938.0,1876.61,19-02-2025 13:25:32
polygon-bridged-wbtc-polygon-pos,95528.0,309927699,-0.0366,108124.0,49937.0,96441.0,93509.0,19-02-2025 13:25:32
kusama,19.19,309322318,-0.10656,621.71,0.876572,19.41,18.38,19-02-2025 13:25:32
notcoin,0.00298434,305570407,5.84491,0.02836145,0.00236798,0.00297985,0.00276471,19-02-2025 13:25:32
blur,0.13525,298846191,0.69384,5.02,0.109611,0.136698,0.128701,19-02-2025 13:25:32
astar,0.03910616,296562840,2.93286,0.421574,0.03269521,0.0391731,0.03687616,19-02-2025 13:25:32
liquid-staked-ethereum,2923.11,295675372,1.35845,4332.67,1384.61,2944.17,2829.57,19-02-2025 13:25:32
superfarm,0.651879,294576998,-1.15526,4.74,0.070397,0.664248,0.615889,19-02-2025 13:25:32
golem,0.294606,294278703,1.30439,1.32,0.00913753,0.312523,0.280906,19-02-2025 13:25:32
instadapp,7.43,293603778,6.78585,24.4,0.366538,7.48,6.91,19-02-2025 13:25:32
vethor-token,0.0033959,293275211,1.22977,0.04671227,0.00015238,0.00349467,0.003224,19-02-2025 13:25:32
mog-coin,7.51186e-07,292886138,-7.36116,4.02e-06,4.526e-09,8.23383e-07,6.99938e-07,19-02-2025 13:25:32
plume,0.144616,288717621,14.0361,0.210754,0.084391,0.145922,0.122238,19-02-2025 13:25:32
nervos-network,0.00619511,284893947,-1.52308,0.04370633,0.00197892,0.00642492,0.00588277,19-02-2025 13:25:32
the-grays-currency,0.00096358,283243434,-3.51842,0.00132623,2.17e-06,0.00101435,0.000926,19-02-2025 13:25:32
staked-frax-ether,3009.85,281147311,1.08374,7545.09,1147.58,3030.88,2910.27,19-02-2025 13:25:32
oasis-network,0.04159977,279995476,1.79943,0.597347,0.03200566,0.04197233,0.03933513,19-02-2025 13:25:32
holotoken,0.00157494,279826959,2.26551,0.03126682,0.0002202,0.00157784,0.00147255,19-02-2025 13:25:32
mantle-bridged-usdt-mantle,0.998469,279341485,-0.27108,1.26,0.869914,1.01,0.991521,19-02-2025 13:25:32
zilliqa,0.01426002,278651861,0.30269,0.255376,0.00239616,0.01446498,0.01373824,19-02-2025 13:25:32
toshi,0.00065522,275877685,-5.84116,0.00226012,1.8963e-08,0.00070038,0.00063723,19-02-2025 13:25:32
livepeer,7.15,273181434,-2.10316,99.03,0.354051,7.44,6.84,19-02-2025 13:25:32
elixir-deusd,1.001,270806998,0.11439,1.04,0.978154,1.005,0.996088,19-02-2025 13:25:32
baby-doge-coin,1.628e-09,270320259,3.15832,6.498e-09,9.4771e-11,1.642e-09,1.511e-09,19-02-2025 13:25:32
basic-attention-token,0.179186,268255657,0.90748,1.9,0.072394,0.18058,0.170937,19-02-2025 13:25:32
0x,0.314489,266805926,1.32688,2.5,0.120667,0.314921,0.299219,19-02-2025 13:25:32
